"tract","Name","Household_Income_rP_gF_pall"
6037480704,"South Pasadena, CA",52390
6037128702,"Sherman Oaks, Los Angeles, CA",52378
6037269100,"Pico - Robertson, Los Angeles, CA",52373
6037141302,"Sherman Oaks, Los Angeles, CA",52278
6037463200,"Lamanda Park, Pasadena, CA",52216
6037124600,"Sherman Oaks, Los Angeles, CA",52216
6037702201,"Sunset Park, Santa Monica, CA",51953
6037143500,"Studio City, Los Angeles, CA",51943
6037277100,"Westchester, Los Angeles, CA",51876
6037620002,"El Segundo, CA",51776
6037620001,"El Segundo, CA",51716
6037216300,"Central LA, Los Angeles, CA",51499
6037181300,"Northeast Los Angeles, Los Angeles, CA",51479
6037302003,"Citrus Grove, Glendale, CA",51423
6037481102,"San Gabriel, CA",51334
6037189905,"Central LA, Los Angeles, CA",51279
6037700102,"Central LA, West Hollywood, CA",51271
6037481604,"Alhambra, CA",51237
6037186100,"Eagle Rock, Los Angeles, CA",51167
6037482702,"South Montebello, Monterey Park, CA",51063
6037554103,"Bellflower, CA",50891
6037702300,"Sunset Park, Santa Monica, CA",50887
6037128910,"Sherman Oaks, Los Angeles, CA",50800
6037183222,"Northeast Los Angeles, Los Angeles, CA",50759
6037141102,"Sherman Oaks, Los Angeles, CA",50714
6037267402,"West Los Angeles, Los Angeles, CA",50569
6037189202,"Central LA, Los Angeles, CA",50562
6037212702,"Central LA, Los Angeles, CA",50557
6037216401,"Central LA, Los Angeles, CA",50530
6037262706,"Pacific Palisades, Los Angeles, CA",50516
6037480901,"Alhambra, CA",50494
6037463500,"Pasadena, CA",50378
6037271901,"Mar Vista, Los Angeles, CA",50249
6037275101,"Culver City, CA",50231
6037302504,"Mariposa, Glendale, CA",50087
6037462900,"Pasadena, CA",50031
6037550800,"Downey, CA",50017
6037701602,"Mid-City, Santa Monica, CA",50009
6037188300,"Atwater Village, Los Angeles, CA",49958
6037189702,"Hollywood Hills, Los Angeles, CA",49930
6037186202,"Northeast Los Angeles, Los Angeles, CA",49910
6037265201,"Westwood, Los Angeles, CA",49844
6037620201,"Manhattan Beach, CA",49829
6037480600,"South Pasadena, CA",49819
6037186201,"Northeast Los Angeles, Los Angeles, CA",49814
6037192300,"Central LA, Los Angeles, CA",49749
6037271702,"Palms, Los Angeles, CA",49747
6037481901,"Alhambra, CA",49746
6037702901,"Marina del Rey, CA",49694
6037207103,"Central LA, Los Angeles, CA",49594
6037212701,"Central LA, Los Angeles, CA",49562
6037189101,"Central LA, Los Angeles, CA",49557
6037482502,"Garvey, Rosemead, CA",49534
6037481712,"Garvey, Monterey Park, CA",49494
6037462202,"Pasadena, CA",49487
6037702801,"Clarkdale, Culver City, CA",49415
6037481001,"Alhambra, CA",49389
6037482503,"Garvey, Rosemead, CA",49363
6037274100,"Venice, Marina del Rey, CA",49277
6037272301,"Mar Vista, Los Angeles, CA",49274
6037702102,"Ocean Park, Santa Monica, CA",49219
6037480302,"Alhambra, CA",49187
6037482304,"Garvey, Rosemead, CA",49063
6037550700,"Downey, CA",49003
6037211703,"Central LA, Los Angeles, CA",48918
6037217001,"Pico - Robertson, Los Angeles, CA",48817
6037181600,"Northeast Los Angeles, Los Angeles, CA",48779
6037482301,"Garvey, San Gabriel, CA",48771
6037702002,"Ocean Park, Santa Monica, CA",48749
6037702600,"Culver City, CA",48744
6037267600,"Sawtelle, Los Angeles, CA",48587
6037301802,"Vineyard, Glendale, CA",48511
6037481103,"San Gabriel, CA",48331
6037463602,"Pasadena, CA",48302
6037214000,"Central LA, Los Angeles, CA",48281
6037463400,"Pasadena, CA",48066
6037183104,"Northeast Los Angeles, Los Angeles, CA",48066
6037272100,"Mar Vista, Los Angeles, CA",48008
6037551501,"Downey, CA",48005
6037701402,"Wilshire Montana, Santa Monica, CA",47995
6037189904,"Central LA, Los Angeles, CA",47932
6037271902,"Mar Vista, Los Angeles, CA",47875
6037480303,"Alhambra, CA",47776
6037212420,"Central LA, Los Angeles, CA",47765
6037189600,"Central LA, Los Angeles, CA",47734
6037311600,"Burbank, CA",47717
6037143300,"Studio City, Los Angeles, CA",47638
6037530004,"South Montebello, Montebello, CA",47585
6037143604,"Studio City, Los Angeles, CA",47507
6037181500,"Northeast Los Angeles, Los Angeles, CA",47500
6037480803,"Alhambra, CA",47400
6037201601,"Northeast Los Angeles, Los Angeles, CA",47345
6037186302,"Glassell Park, Los Angeles, CA",47343
6037267300,"West Los Angeles, Los Angeles, CA",47273
6037302202,"Mariposa, Glendale, CA",47202
6037267902,"Rancho Park, Los Angeles, CA",47199
6037302301,"Moorpark, Glendale, CA",47142
6037143100,"Toluca Lake, Los Angeles, CA",47048
6037195300,"Central LA, Los Angeles, CA",47046
6037702501,"Carlson Park, Culver City, CA",47029
6037700501,"Central LA, West Hollywood, CA",47000
6037141303,"Sherman Oaks, Los Angeles, CA",46828
6037603500,"Gardena, CA",46780
6037265305,"Westwood, Los Angeles, CA",46741
6037302104,"Citrus Grove, Glendale, CA",46692
6037550602,"Downey, CA",46688
6037702400,"Lucerne - Higuera, Culver City, CA",46661
6037207102,"Central LA, Los Angeles, CA",46611
6037197700,"Echo Park, Los Angeles, CA",46567
6037463300,"Pasadena, CA",46448
6037183401,"Northeast Los Angeles, Los Angeles, CA",46436
6037195100,"Silver Lake, Los Angeles, CA",46417
6037211704,"Central LA, Los Angeles, CA",46362
6037197600,"Echo Park, Los Angeles, CA",46296
6037206010,"Central LA, Los Angeles, CA",46251
6037701701,"Mid-City, Santa Monica, CA",46080
6037553100,"Bellflower, CA",46076
6037481202,"San Gabriel, CA",46069
6037188201,"Central LA, Los Angeles, CA",46047
6037275603,"Culver City, CA",45983
6037197200,"Echo Park, Los Angeles, CA",45973
6037211420,"Central LA, Los Angeles, CA",45943
6037550500,"Downey, CA",45940
6037275602,"Westchester, Los Angeles, CA",45885
6037301601,"Grandview, Glendale, CA",45879
6037482402,"Garvey, Rosemead, CA",45859
6037141201,"Sherman Oaks, Los Angeles, CA",45859
6037480804,"Alhambra, CA",45740
6037551402,"Downey, CA",45733
6037482303,"Garvey, Rosemead, CA",45600
6037550902,"Downey, CA",45585
6037482800,"South Montebello, Monterey Park, CA",45463
6037189800,"Central LA, Los Angeles, CA",45384
6037602402,"Hawthorne, CA",45382
6037269907,"Palms, Los Angeles, CA",45380
6037214501,"Central LA, Los Angeles, CA",45377
6037702502,"Culver City, CA",45274
6037302002,"Downtown, Glendale, CA",45197
6037207900,"Central LA, Los Angeles, CA",45148
6037481902,"Alhambra, CA",45123
6037302503,"Mariposa, Glendale, CA",45085
6037125501,"North Hollywood, Los Angeles, CA",45084
6037187102,"Atwater Village, Los Angeles, CA",45075
6037187101,"Atwater Village, Los Angeles, CA",44928
6037530006,"South Montebello, Montebello, CA",44900
6037553200,"Bellflower, CA",44870
6037554001,"Bellflower, CA",44841
6037187300,"Silver Lake, Los Angeles, CA",44836
6037186404,"Glassell Park, Los Angeles, CA",44833
6037195500,"Silver Lake, Los Angeles, CA",44746
6037552100,"Norwalk, CA",44701
6037186203,"Northeast Los Angeles, Los Angeles, CA",44693
6037482521,"South Montebello, Rosemead, CA",44684
6037275400,"Los Angeles, CA",44680
6037603703,"Hawthorne, CA",44662
6037273100,"Venice, Los Angeles, CA",44633
6037480802,"Alhambra, CA",44540
6037536102,"South Gate, CA",44521
6037192410,"Central LA, Los Angeles, CA",44466
6037189400,"Central LA, Los Angeles, CA",44379
6037480304,"Alhambra, CA",44346
6037190520,"Central LA, Los Angeles, CA",44308
6037702802,"McLaughlin, Los Angeles, CA",44253
6037216100,"Central LA, Los Angeles, CA",44234
6037461902,"Pasadena, CA",44194
6037217002,"Central LA, Los Angeles, CA",44181
6037125402,"North Hollywood, Los Angeles, CA",44161
6037482701,"South Montebello, Monterey Park, CA",44152
6037462700,"Mid Central, Pasadena, CA",44049
6037550202,"Norwalk, CA",43971
6037208610,"Central LA, Los Angeles, CA",43932
6037502500,"El Rancho, Pico Rivera, CA",43920
6037139502,"Encino, Los Angeles, CA",43910
6037301602,"Riverside Rancho, Glendale, CA",43909
