"tract","Name","Incarceration_Rate_rP_gP_p25"
6037551300,"Downey, CA",0.0224
6037237600,"South Figueroa Corridor, Los Angeles, CA",0.0222
6037221602,"Central LA, Los Angeles, CA",0.0222
6037206032,"Central LA, Los Angeles, CA",0.0221
6037603900,"Lawndale, CA",0.0221
6037241202,"South Los Angeles, Los Angeles, CA",0.0221
6037535102,"South Los Angeles, Los Angeles, CA",0.0221
6037231900,"South Figueroa Corridor, Los Angeles, CA",0.0221
6037231100,"South Los Angeles, Los Angeles, CA",0.0219
6037239702,"South Los Angeles, Los Angeles, CA",0.0219
6037703200,"View Park, View Park-Windsor Hills, CA",0.0218
6037231400,"Leimert Park, Los Angeles, CA",0.0218
6037239330,"South Los Angeles, Los Angeles, CA",0.0217
6037532604,"Huntington Park, CA",0.0217
6037238310,"South Figueroa Corridor, Los Angeles, CA",0.0217
6037601900,"Inglewood, CA",0.0217
6037480703,"South Pasadena, CA",0.0216
6037222500,"South Los Angeles, Los Angeles, CA",0.0216
6037232120,"South Los Angeles, Los Angeles, CA",0.0215
6037207501,"Downtown, Los Angeles, CA",0.0215
6037226420,"South Los Angeles, Los Angeles, CA",0.0214
6037204820,"Boyle Heights, Los Angeles, CA",0.0214
6037191500,"Central LA, Los Angeles, CA",0.0214
6037602900,"Gardena, CA",0.0214
6037534102,"South Montebello, Bell Gardens, CA",0.0214
6037221220,"Central LA, Los Angeles, CA",0.0213
6037239501,"South Los Angeles, Los Angeles, CA",0.0213
6037533901,"South Montebello, Bell Gardens, CA",0.0213
6037269904,"Palms, Los Angeles, CA",0.0212
6037602104,"Hawthorne, CA",0.0212
6037500600,"El Rancho, Pico Rivera, CA",0.0212
6037601002,"Inglewood, CA",0.0212
6037273600,"Venice, Los Angeles, CA",0.0211
6037542602,"Compton, CA",0.0211
6037240010,"South Los Angeles, Los Angeles, CA",0.021
6037213320,"Central LA, Los Angeles, CA",0.021
6037480702,"South Pasadena, CA",0.021
6037234600,"Park Mesa Heights, Los Angeles, CA",0.0209
6037481902,"Alhambra, CA",0.0209
6037553702,"Paramount, CA",0.0209
6037620305,"Manhattan Beach, CA",0.0209
6037262302,"Brentwood, Los Angeles, CA",0.0209
6037534406,"Cudahy, CA",0.0208
6037201200,"Northeast Los Angeles, Los Angeles, CA",0.0208
6037220100,"South Los Angeles, Los Angeles, CA",0.0208
6037462900,"Pasadena, CA",0.0208
6037541801,"Lynwood, CA",0.0208
6037461901,"Pasadena, CA",0.0207
6037232800,"South Figueroa Corridor, Los Angeles, CA",0.0207
6037533106,"Huntington Park, CA",0.0207
6037208402,"Central LA, Los Angeles, CA",0.0206
6037218400,"Central LA, Los Angeles, CA",0.0206
6037530602,"Los Angeles, CA",0.0206
6037203710,"Boyle Heights, Los Angeles, CA",0.0206
6037620001,"El Segundo, CA",0.0206
6037531602,"South Montebello, East Los Angeles, CA",0.0205
6037212701,"Central LA, Los Angeles, CA",0.0204
6037535002,"South Los Angeles, Los Angeles, CA",0.0204
6037192620,"Central LA, Los Angeles, CA",0.0204
6037219800,"Los Angeles, CA",0.0203
6037203600,"Boyle Heights, Los Angeles, CA",0.0203
