"tract","Name","Household_Income_rP_gP_pall"
6037217001,"Pico - Robertson, Los Angeles, CA",47671
6037302004,"Citrus Grove, Glendale, CA",47521
6037186100,"Eagle Rock, Los Angeles, CA",47452
6037482101,"Monterey Park, CA",47359
6037551402,"Downey, CA",47324
6037700200,"Central LA, West Hollywood, CA",47263
6037481605,"Alhambra, CA",47207
6037481901,"Alhambra, CA",47194
6037271702,"Palms, Los Angeles, CA",47169
6037480400,"Alhambra, CA",46994
6037267404,"Sawtelle, Los Angeles, CA",46941
6037267402,"West Los Angeles, Los Angeles, CA",46871
6037207102,"Central LA, Los Angeles, CA",46856
6037277100,"Westchester, Los Angeles, CA",46796
6037481712,"Garvey, Monterey Park, CA",46742
6037274100,"Venice, Marina del Rey, CA",46716
6037276603,"Playa del Rey, Los Angeles, CA",46671
6037128702,"Sherman Oaks, Los Angeles, CA",46659
6037191902,"Central LA, Los Angeles, CA",46651
6037701402,"Wilshire Montana, Santa Monica, CA",46606
6037181600,"Northeast Los Angeles, Los Angeles, CA",46587
6037550602,"Downey, CA",46501
6037701602,"Mid-City, Santa Monica, CA",46469
6037302103,"Citrus Grove, Glendale, CA",46252
6037188300,"Atwater Village, Los Angeles, CA",46169
6037481001,"Alhambra, CA",46101
6037481604,"Alhambra, CA",46067
6037264102,"Brentwood, Los Angeles, CA",46058
6037207103,"Central LA, Los Angeles, CA",45881
6037482702,"South Montebello, Monterey Park, CA",45858
6037462600,"Pasadena, CA",45805
6037272100,"Mar Vista, Los Angeles, CA",45678
6037302102,"Somerset, Glendale, CA",45672
6037183104,"Northeast Los Angeles, Los Angeles, CA",45611
6037481103,"San Gabriel, CA",45600
6037480600,"South Pasadena, CA",45531
6037189102,"Central LA, Los Angeles, CA",45476
6037550700,"Downey, CA",45460
6037267502,"West Los Angeles, Los Angeles, CA",45411
6037186202,"Northeast Los Angeles, Los Angeles, CA",45410
6037125502,"North Hollywood, Los Angeles, CA",45302
6037301702,"Vineyard, Glendale, CA",45274
6037480303,"Alhambra, CA",45235
6037214000,"Central LA, Los Angeles, CA",45205
6037702202,"Sunset Park, Santa Monica, CA",44985
6037302003,"Citrus Grove, Glendale, CA",44967
6037197700,"Echo Park, Los Angeles, CA",44774
6037620201,"Manhattan Beach, CA",44752
6037462900,"Pasadena, CA",44747
6037481002,"Alhambra, CA",44724
6037463500,"Pasadena, CA",44708
6037195100,"Silver Lake, Los Angeles, CA",44708
6037702102,"Ocean Park, Santa Monica, CA",44630
6037603703,"Hawthorne, CA",44601
6037265303,"Westwood, Los Angeles, CA",44592
6037275101,"Culver City, CA",44553
6037216401,"Central LA, Los Angeles, CA",44526
