"tract","Name","Household_Income_rP_gM_pall"
6037540202,"Lynwood, CA",34240
6037534406,"Cudahy, CA",34224
6037533107,"Huntington Park, CA",34221
6037535702,"South Gate, CA",34216
6037211804,"Central LA, Los Angeles, CA",34216
6037461902,"Pasadena, CA",34216
6037185202,"Mount Washington, Los Angeles, CA",34131
6037553504,"Paramount, CA",34124
6037534301,"Cudahy, CA",34057
6037481102,"San Gabriel, CA",34013
6037531502,"East Los Angeles, CA",34003
6037532102,"South Montebello, Montebello, CA",34002
6037530601,"Los Angeles, CA",33998
6037602103,"Hawthorne, CA",33991
6037209403,"Central LA, Los Angeles, CA",33960
6037301601,"Grandview, Glendale, CA",33948
6037192520,"Central LA, Los Angeles, CA",33940
6037211922,"Central LA, Los Angeles, CA",33933
6037190100,"Central LA, Los Angeles, CA",33921
6037191301,"East Hollywood, Los Angeles, CA",33906
6037213310,"Central LA, Los Angeles, CA",33902
6037502700,"Santa Fe Springs, CA",33895
6037125501,"North Hollywood, Los Angeles, CA",33867
6037191500,"Central LA, Los Angeles, CA",33859
6037302505,"Adams Hill, Glendale, CA",33831
6037540000,"Lynwood, CA",33795
6037192420,"Central LA, Los Angeles, CA",33710
6037531302,"Los Angeles, CA",33706
6037183820,"Northeast Los Angeles, Los Angeles, CA",33704
6037531201,"Los Angeles, CA",33704
6037221220,"Central LA, Los Angeles, CA",33693
6037271802,"Palms, Los Angeles, CA",33681
6037201602,"Northeast Los Angeles, Los Angeles, CA",33674
6037535902,"South Gate, CA",33666
6037191420,"Central LA, Los Angeles, CA",33642
6037500600,"El Rancho, Pico Rivera, CA",33624
6037535002,"South Los Angeles, Los Angeles, CA",33623
6037224020,"South Los Angeles, Los Angeles, CA",33597
6037536000,"South Gate, CA",33572
6037531902,"South Montebello, East Los Angeles, CA",33572
6037533401,"Maywood, CA",33536
6037533201,"Huntington Park, CA",33450
6037550901,"Downey, CA",33449
6037201501,"Northeast Los Angeles, Los Angeles, CA",33437
6037204120,"Central LA, Los Angeles, CA",33436
6037600912,"Inglewood, CA",33426
6037204600,"Boyle Heights, Los Angeles, CA",33426
6037186401,"Northeast Los Angeles, Los Angeles, CA",33419
6037203710,"Boyle Heights, Los Angeles, CA",33410
6037190401,"Central LA, Los Angeles, CA",33396
6037197500,"Echo Park, Los Angeles, CA",33392
6037702002,"Ocean Park, Santa Monica, CA",33362
6037530802,"Los Angeles, CA",33362
6037197600,"Echo Park, Los Angeles, CA",33331
6037536104,"South Gate, CA",33325
